what,kind,bundleId,bundleVersion,description,time
war,m2e.packaging,org.eclipse.m2e.core,1.0.100,"war",1322346184307
clean:default-clean:clean,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-clean-plugin:2.4.1",1322346184307
compile:default:process-sources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.codehaus.mojo:aspectj-maven-plugin:1.2",1322346184307
resources:default-resources:process-resources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-resources-plugin:2.5",1322346184307
compile:default-compile:compile,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-compiler-plugin:2.3.2",1322346184307
test-compile:default:process-test-sources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.codehaus.mojo:aspectj-maven-plugin:1.2",1322346184307
testResources:default-testResources:process-test-resources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-resources-plugin:2.5",1322346184307
testCompile:default-testCompile:test-compile,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-compiler-plugin:2.3.2",1322346184307
test:default-test:test,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-surefire-plugin:2.8",1322346184308
war:default-war:package,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-war-plugin:2.1.1",1322346184308
install:default-install:install,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-install-plugin:2.3.1",1322346184308
deploy:default-deploy:deploy,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-deploy-plugin:2.6",1322346184308
site:default-site:site,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-site-plugin:2.0.1",1322346184308
opened,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1322346189324
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1322346189364
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322346205355
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1322346205602
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1322346218259
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1322346311861
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1322346312083
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1322346312274
error,log,,,"Project facet grails.app has not been defined. It is used in plugin com.springsource.sts.server.tc.core.",1322346320769
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322346342976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322346347398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322346380122
