what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322442027437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322442032102
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.AllMarkersView",1322442042374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322442044450
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1322442056664
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322442056696
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322442058948
started,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1322442066417
started,bundle,org.springframework.ide.eclipse.beans.ui.editor,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.ui.editor",1322442067358
started,bundle,org.springframework.ide.eclipse.webflow.ui.editor,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.webflow.ui.editor",1322442067375
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1322442068493
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1322442069625
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1322442072228
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1322442072636
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322442092919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322442103699
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322442112428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322442113674
activated,editor,com.springsource.sts.ide.ui,2.8.0.201110171000-RELEASE,"com.springsource.sts.internal.ide.ui.editors.MultiPageDashboardEditor",1322442113910
closed,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1322442113912
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1322442137580
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322442137995
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322442141879
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322442169566
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1322442178345
